fileName,targetWord,Sentence
WARW1900000060,깜깜,는 손가락을 뻗어 나무함 속 깜깜함과 광선의 틈바귀를 기고 있는 투명하고 긴 다리 쌍을 가진 그 유령거미를 틱 튕겨버린다
WARW1900000060,깜깜,는 그 한번도 풀려났던 적 없던 나무함 속의 깜깜함을 생각해본다 그리고 다시 유령거미가 떨어져나간 그 깜깜함과 광선의 틈바귀에 또 무엇인가 놓여 있는 것을 본다
WARW1900000060,깜깜,어떤 습기차고 시큼한 독한 내가 그 탁하디탁한 깜깜함들을 뚫고 의 콧속으로 훅 밀려든다
WARW1900000060,깜깜,안선생이 고개를 끄덕이더니 일어나 지나치게 빠르지도 지나치게 느리지도 않은 어떤 걸음걸이로 사내 둘과 함께 깜깜한 생울타리 쪽 어딘가로 사라진다
WARW1900000060,깜깜,새리의 여린 갈색의 두 초점 없는 눈이 안선생이 사라진 쪽으로 깜깜하게 박혀 있다
WARW1900000060,깜깜,들이 놀란 눈으로 주위를 돌아본다 깜깜하다
WARW1900000060,깜깜,동굴 속 그 빌어먹을 깜깜함들을 쭉 가르며 비춰지던 그 빌어먹을 랜턴 불빛 그러니까
WARW1900000060,깜깜,그래 그것들은 동굴 저 깜깜함들 속으로 기어들어가고 있었던 거야
WARW1900000060,깜깜,그의친구들을 끈덕지게 핥고 물어뜯고 저 안 보이는 깜깜함들 속으로 끌어내릴 듯 노려보았다 노려보았다 알겠어
WARW1900000060,깜깜,그렇게 일은 끝을 보았던 거야 그것들은 그렇게 저 동굴의 단단히 틀어막힌 깜깜함들 속으로 스며들 듯
WARW1900000060,깜깜,를 끈덕지게 핥고 를 물어뜯고 를 저 안 보이는 깜깜함들 속으로 끌어내리고 있는 듯하다 끌어내리고 비틀고 를 뒤흔들고 있는 듯하다 아
WARW1900000060,깜깜,아 는 의 땀에 젖어 번들거리는 까만 알몸 너머 검은 십자들이 이룬 격자무늬들 너머 어떤 깜깜함들로부터 천천히 걸어나오고 있는 행렬을 본다 어떤 는 칠이 벗겨진 쇠지팡이를 짚고 머리카락이 희끗희끗 센 등이 그들의 지팡이 머리처럼 휜 어떤 흑인들의 행렬을 본다 드위 리 두 비 밥 울라 쿠 그렇게 알 수 없는 노랫말들을 나지막이 흥얼 흥얼대며 아 빌어먹을 는 체머리를 흔들며 의 젖가슴을 비틀어쥐고는 이리저리 흔들어댄다 빨갛고 미끈거리는 어떤 것들이 의 손바닥을 환하게 물들인다 빌어먹을 아 빌어먹을 흑인들이다 흑인들이야 흑인들은 검은 십자 그림자들이 격자무늬로 무수히 얽혀 있는 공중과 바닥 사이를 걸어 천천히 이쪽으로 오고 있다 드위 리 두 비 밥 울라 쿠 는 의 엉덩이를 높이 들어올리고는 성기를 의 성기와 항문에 아무렇게나 꽂아넣기 시작한다 의 성기가 막무가내로 찔러올 때마다 는 자지러질 듯이 비명을 질러댄다 캭캭 캭캭 는 그렇게 꽂아넣었다가 곧 다시 빼내는 동작들을 몇 번이고 되풀이하곤 허리를 굽혀 이빨이 닿는 대로 아무 곳이나 질겅질겅 씹어대기 시작한다 드위 리 두 비 밥 울라 쿠 가운데 검고 그 어떤 육중함으로 번들거리는 무언가를 두고선 두 열로 줄을 맞춰 흑인들은 들을 향해 느릿느릿 걸음을 옮겨오고 있다
WARW1900000060,깜깜,는 빙긋 웃으며 그 늙고 주름투성이인 흑인들의 깜깜한 얼굴들을 향해 나이프를 들어올려 보여준다 은색의 반짝이는 예리한 날이 흑인들의 짓무르고 늘어진 눈두덩들을 시퍼렇게 빛나게 한다 아
WARW1900000060,깜깜,조심해 박스바니가 다시 온다 그 미친 성난 토끼가 박스바니가 다시 온다 딱따구리 너의 퐁텐블로로 너의 퐁텐블로로 는 캭캭 낮은 비명을 지르며 아직도 의 성기를 씹어먹고 있는 의 머리칼을 틀어쥔다 캭캭 가 몸을 비튼다 캭캭 드위 리 두 비 밥 는 의 까만 몸뚱이 너머 검은 십자 그림자들이 이룬 격자 무늬들 너머 깜깜함들 속으로 다시 천천히 사라져가는 그 어떤 흑인들의 행렬을 본다 드위 리 두 비 밥 울라 쿠 는 말없이 입 속으로만 를 향해 중얼거린다
WARW1900000061,깜깜,우연도 운명도 없이 깜깜한 우주 속으로 흘러가고 있는 별과 같은 세계
WARW1900000062,깜깜,삐 쳐도 깜깜이던데
WARW1900000063,깜깜,살롱의 깜깜한 홀을 지나 주방으로 들어갔다
WARW1900000063,깜깜,박상우네 동네를 지나는데 벌써 깜깜해지더라구
WARW1900000064,깜깜,나는 울부짖으려 했으나 소리는 머릿속 깜깜한 데로 물거품처럼 꺼져들었다
WARW1900000068,깜깜,스위치를 켜지 않은 깜깜한 굴 속에 잠시 우두커니 앉아 있었다
WARW1900000069,깜깜,사방은 여전히 깜깜했고 오토바이는 오토바이대로 헤드라이트를 켠 채 내 손을 벗어나 벼랑 아래로 떨어져내리고 있었다
WARW1900000074,깜깜,지하 작업실의 깜깜한 자궁에 포근히 안긴 채로
WARW1900000074,깜깜,멍한 눈으로 깜깜한 침실 창 밖을 바라보다가 문득 지하 작업실의 아이가 생각났다
WARW1900000074,깜깜,안쪽은 깜깜했다
WARW1900000074,깜깜,마주 보이는 거실도 이층 방 창문도 다 깜깜했다
WARW1900000074,깜깜,안쪽은 더 깜깜해서 거의 아무것도 보이지 않았다
WARW1900000078,깜깜,바람이 불고 하늘이 깜깜한 날이 이어졌다
WARW1900000078,깜깜,번개가 깜깜한 하늘을 가르며 멀리 내리꽂혔다
WARW1900000082,깜깜,동굴 속은 불과 도 못 가서 깜깜해져 아무 것도 보이지 않았다
WARW1900000083,깜깜,여 미터쯤 떨어져 있는 노파의 옆집은 퇴락한 채 깜깜하게 불이 꺼져 있었다
WARW1900000083,깜깜,가끔 나는 내가 깜깜한 밤이라는 생각이 들어요
WARW1900000084,깜깜,방 안이 깜깜해지자 벽지의 야광 그림들이 연두색 빛을 낸다
WARW1900000084,깜깜,휴게소는 깜깜하다
WARW1900000084,깜깜,엄마는 깜깜한 집 앞 개울에서 발에 묻은 흙덩이와 두 배로 커진 거친 손과 검고 깡마른 얼굴을 씻고 수건으로 닦은 다음 목에 수건을 걸고 한 손에 늙은 상추를 뜯어 들고 다른 손에는 모자를 들고 들어온다
WARW1900000086,깜깜,박사님 소식은 상기두 통 깜깜합네까
WARW1900000089,깜깜,자네 아직 깜깜소식이군
WARW1900000091,깜깜,이곳도 역시 불이 없어서 사방이 깜깜한 칠흑이다
WARW1900000094,깜깜,그러나 하늘이 깜깜하게 달려들던 벌떼의 환영이 떠올라 유혹을 뿌리쳤다
WARW1900000094,깜깜,사방이 깜깜해졌다
WARW1900000094,깜깜,식사를 끝내고 나오니까 날은 완전히 깜깜해졌고 기온이 내려가면서 선선한 바람이 불어 운전하기가 훨씬 수월해졌다
WARW1900000095,깜깜,사방은 먹물로 도배를 한 듯 깜깜했다
WARW1900000095,깜깜,강대 주변에는 한 개의 촛불조차 켜 있지 않아 깜깜했다
WARW1900000096,깜깜,밀림 속이 갑자기 깜깜하게 어두워지더니 장대비가 쏟아졌다
WARW1900000096,깜깜,창 아래는 사람 세 길 깊이가 될 만큼 깜깜하고 깊었지만 앞뒤를 가릴 여유 없이 두 사람은 창에서 뛰어내렸다
WARW1900000099,깜깜,혁민이만 아녔다면 어떻게 살았을까 지금도 눈앞이 깜깜할 지경이다
WARW1900000099,깜깜,눈앞이 깜깜했다
WARW1900000100,깜깜,그리고 깊이를 알 수 없는 깜깜한 어둠 속으로 소리 없이 빠져 드는 자신의 영혼을 보았다
WARW1900000100,깜깜,그러나 아직 지나가지 못한 길은 깜깜한 어둠 속이었다
WARW1900000100,깜깜,어쩌면 죽음의 세계는 우리 인간이 생각하는 것보다 훨씬 따뜻한 빛으로 감싸여 있고 오히려 이 세상이 깜깜한 어둠 속이 아니겠는가 하는
WARW1900000103,깜깜,그리 뇌며 문득 일어나 산중턱의 움막 쪽으로 깜깜함을 향해 갔다
WARW1900000104,깜깜,자준이 어전을 나오자 사위는 이미 깜깜해진 후였고 급히 대궐을 빠져나온 자준이 천문을 한 번 살피고선 잠시 멈추었던 걸음을 다시 재촉하여 집으로 향하였다
WARW1900000104,깜깜,청령포를 맴돌며 센물살을 바라보던 엄흥도는 국법을 어겨서라도 사나운 물살을 건너 자신의 전하를 뵈올 셈으로 깜깜한 강물로 마악 뛰어들려 하였다
WARW1900000104,깜깜,일순 앞이 깜깜해짐을 느끼며 지평무의 눈이 어느 순간 악에 받친 듯 살기로 넘쳤다
WARW1900000105,깜깜,그러자 갑자기 방안이 깜깜해져 버렸다
WARW1900000110,깜깜,전쟁이 나던 해의 정이월까지는 갯가의 원논 에 두루미가 떼를 지어 놀고 무슨무슨 새까지가 텃새고 무슨무슨 새까지가 철새인지조차 헷갈릴 정도로 새가 많았던 어렸을 적에도 밤에 그렇게 우짖는 밤새에 대한 기억은 깜깜할 뿐이었으니까
WARW1900000112,깜깜,불을 모두 끈 병실 안은 깜깜했다
WARW1900000112,깜깜,그 어둠처럼 현주의 머리와 가슴속도 깜깜했다
WARW1900000112,깜깜,앞이 깜깜했어
WARW1900000116,깜깜,그런 어느 순간 형과는 달리 나는 이 길을 아주 조금밖에 걸어보지 않았다는 생각이 들었고 더구나 깜깜한 밤에는 처음이라는 생각이 들었고 형은 어쩐지 모르지만 나는 어둠을 싫어한다는 생각이 들었다
WARW1900000116,깜깜,이렇게 깜깜한 밤에 이런 기분으로는 아니었다
WARW1900000116,깜깜,그 깜깜한 밤중에 휠체어를 밀고 어떻게 거기까지 올라갔었는지 의아스러울 정도였다
WARW1900000116,깜깜,어떻게 된 영문인지 그에게 무슨 일이 벌어지고 있는지도 가늠할 수 없는 그 깜깜한 불통의 상황이 더 불안하고 견디기 어려웠다
WARW1900000116,깜깜,세상이 깜깜했다
WARW1900000117,깜깜,사방이 깜깜해졌다
WARW1900000117,깜깜,난실이는 너무 눈앞이 깜깜해서 아무 생각도 나지 않는 모양이었다
WARW1900000119,깜깜,이제 거리는 어둠이 이내를 덮어버리고 네온들의 세상이 되었는데 그 전당포의 네온은 유독 깜깜했고 그의 표정도 그만큼 어두웠다
WARW1900000120,깜깜,밤 열 시에 불현듯 임시 휴업 표지를 써붙이고 집으로 돌아온 뒤론 감감 깜깜 캄캄해졌을 뿐이었다
WARW1900000126,깜깜,고향 역에 도착하니 밤 시 깜깜한 하늘이 가을 비를 뿌렸다
WARW1900000126,깜깜,그러면 세상이 온통 쥐 쥐 죽은 듯 조용하고 깜깜한 게 영 갑갑증이 나서 못 견디겠습디다
WARW1900000126,깜깜,병국이 깜깜한 하늘을 쳐다보며 눈앞에 나는 도요새를 따라갔다
WARW1900000126,깜깜,나는 깜깜한 속에 오직 우리 남매만 처량히 남았고 아버지는 또 집을 나가 어디론가 떠나 버린 착각에 빠졌다
WARW1900000126,깜깜,이래 깜깜한데 어무이가 우예 올꼬
WARW1900000129,깜깜,눈앞이 검은 망사를 드리운 것처럼 깜깜해졌다
WARW1900000130,깜깜,이제 고백하거니와 나의 참된 세상은 깜깜한 내 방의 어둠 속에 있었다
WARW1900000130,깜깜,나는 시계를 가지고 있지 않았고 주변은 그저 깜깜하기만 했다
WARW1900000130,깜깜,비좁고 축축하고 깜깜한 이 무덤 속에 갇힌 나는 그러면 시체인가
WARW1900000132,깜깜,그들이 소의문 가까이 이르렀을 때 은은히 바라 소리가 들렸으나 긴긴 섣달 밤은 아직 깜깜하기만 했다
WARW1900000143,깜깜,청은 방을 나서며 힐끗 흰 물체를 본 듯했지만 칠흑처럼 깜깜한 어둠 속에서 그보다는 우선 검상을 입고 달아난 자를 생포하는 일이 급하다고 판단했다
WARW1900000144,깜깜,정린은 창가에 기대서 하늘과 바다의 경계가 모호해져버린 깜깜한 밤 풍경을 바라보고 있었다
WARW1900000144,깜깜,친구의 대답에 정린은 기절할 듯 눈앞이 깜깜해졌다
WARW1900000144,깜깜,순간 눈앞이 깜깜해진 마이클이 충격으로 비틀거리자 그 사이를 틈타 복면의 사내가 일어나 칼을 집어들고 달리기 시작했다
WARW1900000144,깜깜,노인의 파란 눈을 어디선가 본 적이 있다고 느낀 정린은 다음 순간 눈앞이 깜깜해지며 암흑 속으로 들어갔다
WARW1900000144,깜깜,의사의 말에 정린은 눈앞이 깜깜해지는 것을 느꼈다
WARW1900000145,깜깜,순간 정린의 눈앞이 깜깜해졌다
WARW1900000145,깜깜,눈앞이 깜깜해질 정도로 자신을 강타하는 엄청난 고통에 정린은 비명을 지르고 바닥에 주저앉았다
WARW1900000145,깜깜,기절했던 정린이 다시 눈을 떴을 때 주위는 온통 깜깜했다
WARW1900000149,깜깜,낮은 한숨소리가 들리고 곧이어 방 안이 깜깜해졌다
WARW1900000149,깜깜,도시에서는 불을 꺼도 이렇게 깜깜하지는 않은데 여긴 가로등조차 없어서인지 완전 암흑 천지였다
WARW1900000149,깜깜,그러더니 아예 스위치를 다 내려서 유정을 깜깜한 암흑 속에 가두었다
WARW1900000149,깜깜,매너도 없이 이 깜깜한 곳에 여자 혼자 남겨두고 가면 어떡해요
WARW1900000150,깜깜,이제 이 고양이와 함께 목이 잘리거나 감옥에 가는 일만 남았다 싶어 앞이 깜깜했다
WARW1900000151,깜깜,주인이 모처럼 찾아왔기 때문인지 선착장 곳곳에 세워진 등에도 불이 환하게 밝혀져 밤이지만 깜깜하지 않아 수월하게 내려갈 수 있었다
WARW1900000151,깜깜,방이 깜깜한 걸 보면 최소한 네댓 시간 이상은 잔 것이 틀림없었다
WARW1900000151,깜깜,이렇게 깜깜한데 불도 없이 길을 찾을 수 있겠어요
WARW1900000152,깜깜,잠깐이면 된다고 말하던 연하가 깜깜무소식이자 가마 옆에서 기다리던 카야는 지루함과 초조감에 몸을 꼬았다
WARW1900000152,깜깜,그럼에도 불구하고 끈질기게 요구하는 병력 보충은 깜깜 무소식이었다
WARW1900000152,깜깜,길도 잘 모르는데 깜깜해지기라도 하면 낭패야
WARW1900000153,깜깜,열흘이 썩 넘어도 산신은 깜깜 무소식이었다
WARW1900000160,깜깜,추운 겨울밤 눈보라 속을 헤치며 감시의 눈초리를 피해 아직 동이 트지 않은 새벽녘이나 앞이 뵈지 않는 깜깜한 밤길을 달리거나 걸었다
WARW1900000160,깜깜,사방이 깜깜한 밤 전곡이라는 마을을 지나 동네 언덕에 있는 어떤 집으로 들어갔다
WARW1900000165,깜깜,민우는 순간 눈앞이 깜깜해졌다
WARW1900000165,깜깜,마지막 불이 꺼지면서 집 안은 완전히 깜깜해졌다
WARW1900000166,깜깜,평소에 켜두던 스탠드 불빛마저 꺼 버린 깜깜한 어둠 속에서 지나가는 불빛에 잠깐잠깐 희미한 그림자가 창가에 어리다 사라지길 반복했다
WARW1900000166,깜깜,아직 날이 밝지 않아 빛 없는 깜깜한 주택단지 속에서 유독 한 집만이 환하게 불을 밝혀두고 있었다
WARW1900000166,깜깜,하지만 강재의 목소리에도 깜깜한 창고 내부는 아무것도 변하지 않았다
WARW1900000166,깜깜,문이 닫히고 다시 깜깜해진 어둠 속에서 귀에 익은 목소리가 낮게 들려왔다
WARW1900000170,깜깜,오늘 저녁 몇 시에 해가 지는지 정확하게 말할 순 없어도 밤 시면 깜깜해질 거라는 예측은 누구나 할 수 있는 것이다
WARW1900000170,깜깜,도착하기 전까지도 괜찮았는데 딱 내리니까 앞이 깜깜하더라
WARW1900000175,깜깜,이러다 날은 깜깜해지구 만의 하나 이 친구가 마음을 잘못 먹어 우릴 어디 이상한 데로 끌고 가기라도 하면 어쩔 거냐구요
WARW1900000181,깜깜,눈이 딱 마주쳤는데 순간적으로 머릿속이 암전이라도 된 듯 깜깜해졌다
WARW1900000181,깜깜,무슨 정신으로 차까지 왔는지조차 생각나지 않을 정도로 머릿속은 깜깜했다
WARW1900000202,깜깜,한낮인데도 깜깜한 휴일 날씨를 보고 있자니 저절로 이마가 찌푸려졌다
WARW1900000203,깜깜,넓은 창을 향해 들어오던 햇빛에 갑자기 먹구름이 낀 듯 인영의 눈앞이 깜깜해져왔다
WARW1900000203,깜깜,민혁은 눈앞이 깜깜해지는 것을 느꼈다
WARW1900000207,깜깜,아빠는 매일 아침마다 말끔하게 면도를 하고 향긋한 쉐이브 로션을 얼굴에 바르고 짧은 머리를 단정하게 빗어 넘긴 다음 양복을 입고 말쑥한 모습으로 집을 나갔다가 깜깜해진 다음에야 집으로 돌아오곤 했는데 삼촌은 달랐다
WARW1900000207,깜깜,군부조차 우왕좌왕하는 것 같습네다만 어케 된 내막인지 깜깜합네다
WARW1900000211,깜깜,거기는 너무 깜깜해
WARW1900000213,깜깜,그러나 막상 겨울바람이 휘몰아치는 땅 끝에 서고 보니 앞으로 임진각까지 갈 일이 막막하고 눈앞이 깜깜했습니다
WARW1900000214,깜깜,어느덧 사방이 깜깜해졌다
WARW1900000214,깜깜,달이 구름에 가려져서 사방이 깜깜했다
WARW1900000214,깜깜,전기도 나가서 사방이 깜깜해졌다
WARW1900000220,깜깜,방 안은 아직 한밤중처럼 깜깜했다
WARW1900000226,깜깜,금방 깜깜해지겠다
WARW1900000227,깜깜,한 개의 스탠드에서만 내는 불빛이지만 마치 깜깜한 연극 무대에서 여배우가 펼쳐야 할 연극을 준비해 둔 것처럼 스포트라이트 같은 효과를 내고 있었다
WARW1900000227,깜깜,자신 때문에 보잘것없는 자신 때문에 소중한 이에게 해가 돌아갈지도 모른다 생각하니 눈앞이 깜깜했다
WARW1900000236,깜깜,다시 여순을 만나 보지 않을 수도 없는 일이요 또 이미 저질러 놓은 실수니 가령 그 소문이 밖으로는 나가지 않는다 치더라도 두 사람 사이에서만은 일시적 또는 외면적으로나마 우선 말썽이 되지 않도록 해야 할 것인데 아무 좋은 방편도 생각해 낼 여유 없이 번거로운 생각만이 마치 깜깜한 길을 향하고 돌진하는 기차와 같이 달음질치는 동시에 성가신 문제를 실은 시간이 가까이 눈앞으로 연성 달려드는 것만 같았다
WARW1900000238,깜깜,그런데 이번에는 깜깜한 어둠 속에서 스멀스멀 움직이는 그림들이 또 생겨났다
WARW1900000255,깜깜,열쇠 꾸러미 속에서 길고 반짝이는 열쇠를 깜깜한 열쇠 구멍에 밀어넣는다
WARW1900000258,깜깜,양훈의 술주정에 얻어맞기라도 할까봐 겁이 난 도자는 깜깜한 밤 어둠 속으로 잽싸게 도망을 친다
WARW1900000258,깜깜,그 광경을 본 시언은 눈앞이 깜깜해진다
WARW1900000260,깜깜,응 손에 잡을 수도 만질 수도 없지만 의식의 세계를 지배하여 생각이나 행동으로 떠오르기도 하지만 대개는 검은 어둠으로 사물들을 삼켜놓고 있는 깜깜한 한밤중처럼 알 수가 없을 만큼 큰 존재지
WARW1900000261,깜깜,에키온은 그 쾌락과 환희의 순간에 깜깜한 압축장치로 들어가는 것에 격렬히 저항했지만 여 분 간 투쟁하자 압축기의 힘만으로는 설명할 수 없는 방식으로 몇 조각의 에키온이 빨려 들어오기 시작했다
WARW1900000262,깜깜,교실로 찾아가 봐도 해원이는 아직 깜깜 무소식이란다
WARW1900000267,깜깜,지난 번 명으로 구성된 중급전사들마저 내륙지방으로 들어가서는 영영 깜깜무소식이니 이거 정말이지 답답해서 미치겠군
WARW1900000269,깜깜,한편 월식처럼 위성이 완전히 태양을 가리니 주변이 칠흙같이 깜깜해졌다
WARW1900000270,깜깜,총각은 무거운 지게를 지고 깜깜한 산길을 걸었어요
WARW1900000271,깜깜,검우빈은 깜깜해진 창밖을 일별한 후 자신의 처소로 향했다
WARW1900000280,깜깜,해가 이미 지고 날은 깜깜해지고 있었다
WARW1900000280,깜깜,잘 기억나지 않는 어렸을 때 깜깜한 밤에 혼자 밖을 돌아다닐 때의 무서움을 다시금 느꼈다
WARW1900000280,깜깜,젠장 너무 깜깜해서 전혀 안 보이는 군
WARW1900000282,깜깜,적들의 계획 때문이 아니라 그런 간단한 사실에 깜깜했던 자기 군의 형편없는 정보 수집력 때문이었다
WARW1900000282,깜깜,주위는 빛이 들어오지 않는지 깜깜해 한치 앞도 내다볼 수 없었다
WARW1900000284,깜깜,난데없이 하늘은 깜깜해지고 좀비들이 날뛰고 대체 무슨 일이
WARW1900000284,깜깜,요즘 매일같이 계속되는 몬스터와 좀비들의 습격으로 피곤한데다가 밤낮이 없이 늘 깜깜한 하늘은 날짜 감각마저 흐리게 만들었기 때문이다
WARW1900000284,깜깜,주변이 깜깜하여 미터 밖도 잘 보이지 않고 별자리를 보려고 해도 눈 씻고 찾아봐도 별 비슷한 것도 없다
WARW1900000287,깜깜,방안은 깜깜하고 문은 닫혀 있었다
WARW1900000291,깜깜,한순간 고전압이 지나가며 주위를 환하게 비추다가 이윽고 깜깜한 통로가 계속 됐다
WARW1900000291,깜깜,현지시간으로 시 남짓이라 주위는 깜깜한 밤이었지만 호텔에 돌아다니는 사람들은 많았다
WARW1900000303,깜깜,모용세가의 명성은 강호 사정에 깜깜한 무언계도 들은 적이 있었던 모양인지 아는 척 했다
WARW1900000303,깜깜,구대문파의 이름쯤은 아무리 강호 일에 깜깜한 그라도 들은 적이 있었다
WARW1900000304,깜깜,그러나 깜깜한 산 속은 한치 앞도 잘 보이지 않았고 가까이서 늑대의 울음소리까지 들려왔다
WARW1900000304,깜깜,그야 도둑질하자고 꼬실 때 그냥 넘어오고 강호 일에도 깜깜하고 엉뚱한 짓으로 사고치고
WARW1900000304,깜깜,전에는 강호의 유명한 고수에 대해 깜깜했던 무언계였지만 그 동안 여러 가지 일을 하면서 아주 유명한 사람들의 이름 정도는 대충 알게 되었다
WARW1900000308,깜깜,찾아와서 밖의 소식을 말해주는 사람이 없으니 세상 돌아가는 일이 깜깜이었고 그러니 좋은 생각 같은 것이 나올 리가 없었다
WARW1900000309,깜깜,순식간에 깜깜해지자 수적들은 웅성거렸다
WARW1900000309,깜깜,무언계는 이런 상황이 계속되리란 보장도 없고 남일면이 기다리는 곳까지 이 무거운 짐을 이렇게 끌고 가야한다 생각하니 앞이 깜깜해졌다
WARW1900000309,깜깜,특히 목적지도 없이 정처 없이 돌아다니다보면 어느새 해가 지고 밤이 되어있고 깜깜한 산은 천연의 절진이 된다
WARW1900000311,깜깜,벌써 날이 깜깜해져 있었다
WARW1900000320,깜깜,자정이 얼마 남지 않은 한밤중 불빛이라고는 전혀 찾아볼 수 없는 깜깜한 동중국해의 잔잔한 물결 사이로 어둠이 점점 더 깊이 녹아들었다
WARW1900000324,깜깜,또 시위와 관련해 경찰에 잡혀간 것은 아니었을까 하는 기대는 무너지고 눈앞이 깜깜해졌다
WARW1900000325,깜깜,가령 나는 어머니와의 추억을 간직할 만한 나이인 대여섯 살 때의 어머니에 대해서는 아주 깜깜나라다
WARW1900000325,깜깜,한란의 향훈은 저 유년의 깜깜나라를 부유하는 아득한 그리움의 냄새를 떠올리게 했다
WARW1900000325,깜깜,내 신음 소리 때문은 아닐 텐데 별안간 밖이 깜깜해졌다
WARW1900000325,깜깜,원단날 종가의 차례는 깜깜한 첫새벽에 모신다
WARW1900000326,깜깜,지명법사가 혼이 빠진 사람처럼 삐걱거리는 문을 열며 밖으로 뛰쳐나가니 쇠똥이는 삼박거리는 눈으로 깜깜한 밤하늘을 둘러보았다
WARW1900000326,깜깜,생각지도 않게 만남이 이루어졌으니 순간 눈앞이 깜깜해지고 가슴이 두근거려 어찌해야 할지 갈피를 잡지 못했다
WARW1900000326,깜깜,선화는 가까이 서는 서동을 올려다보고 그의 어깨에 기대고 싶은 마음을 억누르며 일부러 깜깜한 들판과 산을 보았다
WARW1900000327,깜깜,더군다나 그녀의 믿음이 모두 사라졌다 생각하니 서동은 앞이 깜깜하기만 했다
WARW1900000327,깜깜,눈앞이 깜깜해지고 땅이 꺼지는 듯해서 서동은 어좌의 팔걸이를 붙잡아 몸을 지탱했다
WARW1900000327,깜깜,선화는 눈앞이 깜깜해지고 다리가 후들거려 도저히 서 있을 수가 없었다
WARW1900000327,깜깜,서동은 눈앞이 깜깜해졌다
WARW1900000338,깜깜,눈앞이 새하얗게 변하는가 싶더니 곧 깜깜해졌다
WARW1900000341,깜깜,격정의 시간이 지나자 편안해진 갈레누스가 쏟아지는 졸음을 이기느라 꾸벅거리다가 어느덧 마차가 병원 근처에 당도한 것은 깜깜한 밤이었다
WARW1900000342,깜깜,세상 물정에 깜깜한 이들은 그렇게 묻고 나서기 마련이었다
WARW1900000347,깜깜,나는 그의 손에 매달려 그를 절대적으로 믿으면서 깜깜한 암흑 속을 헤쳐 간다
WARW1900000353,깜깜,사위는 이미 깜깜해져 있었다
WARW1900000353,깜깜,갑자기 세상이 온통 깜깜해졌다
WARW1900000356,깜깜,정신을 차려보니 자신은 낯선 숲속에서 모포 한 자락을 몸에 감고 멍하니 깜깜한 하늘을 쳐다보고 있었다
WARW1900000370,깜깜,아직도 주변이 엄청 깜깜한 것을 보니 축시 새벽 시부터 시까지 정도 된 것 같았다
WARW1900000376,깜깜,주위는 깜깜했지만 다행히 당가서관에서 빌린 등불을 가지고 있어 그리 불편하지는 않았다
